OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue
SO - 000225,1-Jan-17,13-Jan-17,28,Wholesale,NZD,AXW291,71,11,6,2499.1,1824.343,14994.6
SO - 0003378,1-Jan-17,6-Jan-17,7,Distributor,NZD,AXW291,54,7,11,2351.7,1269.918,25868.7
SO - 0003901,1-Jan-17,5-Jan-17,12,Wholesale,NZD,AXW291,58,13,5,1728.6,1019.874,8643
SO - 0005126,1-Jan-17,17-Jan-17,5,Wholesale,USD,AXW291,29,7,6,978.2,684.74,5869.2
SO - 0005614,1-Jan-17,7-Jan-17,27,Export,NZD,AXW291,31,6,7,2338.3,1028.852,16368.1
SO - 0005781,1-Jan-17,15-Jan-17,44,Wholesale,GBP,AXW291,78,9,8,2291.4,1260.27,18331.2
SO - 0002911,2-Jan-17,15-Jan-17,37,Wholesale,EUR,AXW291,2,2,6,911.2,665.176,5467.2
SO - 0003527,2-Jan-17,19-Jan-17,8,Wholesale,USD,AXW291,77,9,11,1701.8,1429.512,18719.8
SO - 0004792,2-Jan-17,13-Jan-17,14,Wholesale,NZD,AXW291,82,11,6,167.5,83.75,1005
SO - 0005414,2-Jan-17,5-Jan-17,47,Wholesale,USD,AXW291,71,7,7,1835.8,1413.566,12850.6
SO - 0005609,2-Jan-17,10-Jan-17,22,Distributor,NZD,AXW291,5,1,7,3966.4,1903.872,27764.8
SO - 0006308,2-Jan-17,19-Jan-17,39,Wholesale,USD,AXW291,42,1,8,214.4,124.352,1715.2
SO - 0006534,2-Jan-17,11-Jan-17,46,Distributor,NZD,AXW291,87,2,9,5152.3,3709.656,46370.7
SO - 0007139,2-Jan-17,9-Jan-17,45,Wholesale,NZD,AXW291,80,1,6,2418.7,1910.773,14512.2
SO - 000450,3-Jan-17,19-Jan-17,20,Wholesale,EUR,AXW291,38,7,7,1078.7,906.108,7550.9
SO - 000848,3-Jan-17,12-Jan-17,36,Wholesale,NZD,AXW291,97,1,9,2217.7,1596.744,19959.3
SO - 0001724,3-Jan-17,19-Jan-17,30,Wholesale,AUD,AXW291,88,9,11,1038.5,633.485,11423.5
SO - 0002078,3-Jan-17,14-Jan-17,5,Wholesale,GBP,AXW291,6,2,5,3999.9,3279.918,19999.5
SO - 0002795,3-Jan-17,9-Jan-17,11,Wholesale,NZD,AXW291,95,5,12,3872.6,2517.19,46471.2
SO - 0003775,3-Jan-17,15-Jan-17,5,Distributor,GBP,AXW291,37,2,12,891.1,516.838,10693.2
SO - 0004247,3-Jan-17,14-Jan-17,14,Export,NZD,AXW291,53,1,6,3879.3,2056.029,23275.8
SO - 0004386,3-Jan-17,8-Jan-17,39,Distributor,AUD,AXW291,77,7,9,1045.2,418.08,9406.8
SO - 0004592,3-Jan-17,6-Jan-17,17,Wholesale,NZD,AXW291,6,2,12,5406.9,3676.692,64882.8
SO - 0005716,3-Jan-17,8-Jan-17,11,Wholesale,NZD,AXW291,60,2,12,234.5,189.945,2814
SO - 0005751,3-Jan-17,21-Jan-17,29,Wholesale,NZD,AXW291,47,2,5,1943,1651.55,9715
SO - 0006419,3-Jan-17,18-Jan-17,41,Distributor,USD,AXW291,30,2,10,1058.6,666.918,10586
SO - 0006790,3-Jan-17,13-Jan-17,33,Wholesale,USD,AXW291,63,1,10,2532.6,1696.842,25326
SO - 0006962,3-Jan-17,10-Jan-17,34,Distributor,GBP,AXW291,65,11,9,2720.2,1251.292,24481.8
SO - 0007587,3-Jan-17,6-Jan-17,5,Export,USD,AXW291,27,6,10,2391.9,1363.383,23919
SO - 0001259,4-Jan-17,11-Jan-17,50,Distributor,AUD,AXW291,28,1,8,3825.7,2601.476,30605.6
SO - 0002564,4-Jan-17,13-Jan-17,43,Wholesale,AUD,AXW291,83,7,12,167.5,103.85,2010
SO - 0002922,4-Jan-17,15-Jan-17,44,Wholesale,EUR,AXW291,83,1,6,247.9,123.95,1487.4
SO - 0002932,4-Jan-17,12-Jan-17,29,Wholesale,GBP,AXW291,59,1,5,1112.2,544.978,5561
SO - 0004007,4-Jan-17,13-Jan-17,39,Wholesale,NZD,AXW291,99,11,11,1011.7,586.786,11128.7
SO - 0004967,4-Jan-17,9-Jan-17,29,Distributor,AUD,AXW291,92,8,12,3845.8,2230.564,46149.6
SO - 0005147,4-Jan-17,18-Jan-17,48,Export,NZD,AXW291,23,11,6,1065.3,777.669,6391.8
